bssid,essid,rssi,point
18:D6:C7:0F:63:8A,19BC,-42,12
E6:5F:01:D1:0F:68,main,-36,12
F4:2E:7F:1B:49:21,eduroam-IPv6only,-68,12
F4:2E:7F:1B:49:23,mwn-events,-69,12
F4:2E:7F:1B:49:25,HM-iotroam,-69,12
18:D6:C7:0A:8A:1F,1209,-37,12
60:E3:27:1C:2C:A4,1B45,-47,12
18:D6:C7:0C:AB:C7,1AD3,-37,12
34:FC:B9:73:30:E0,eduroam,-39,12
34:FC:B9:73:30:E1,eduroam-IPv6only,-38,12
34:FC:B9:73:30:E2,lrz,-38,12
34:FC:B9:73:30:E3,mwn-events,-39,12
34:FC:B9:73:30:E4,@BayernWLAN,-39,12
34:FC:B9:73:30:E5,HM-iotroam,-38,12
F4:2E:7F:1B:49:20,eduroam,-69,12
F4:2E:7F:1B:49:22,lrz,-70,12
F4:2E:7F:1B:49:24,@BayernWLAN,-69,12
38:17:C3:44:90:60,eduroam,-85,12
FC:7F:F1:C4:C8:C0,eduroam,-90,12
C8:A6:08:41:9C:E2,ISB-ABT-BIT,-89,12
C8:A6:08:41:9C:E3,WLAN-MD,-88,12
C8:A6:08:41:9C:E1,ISB-GAST,-90,12
C8:A6:08:41:9C:E0,ISB-BYOD,-88,12
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-84,12
A0:25:D7:CA:A1:C0,eduroam,-85,12
A0:25:D7:CA:A1:C2,@BayernWLAN,-85,12
A0:25:D7:CA:A1:C3,lrz,-84,12
A0:25:D7:CA:A1:C4,mwn-events,-84,12
A0:25:D7:CA:A1:C5,HM-iotroam,-84,12
38:17:C3:44:90:61,eduroam-IPv6only,-84,12
38:17:C3:44:90:64,@BayernWLAN,-85,12
38:17:C3:44:90:62,lrz,-85,12
38:17:C3:44:90:63,mwn-events,-86,12
38:17:C3:44:90:65,HM-iotroam,-87,12
18:D6:C7:0F:63:8A,19BC,-40,12
E6:5F:01:D1:0F:68,main,-36,12
F4:2E:7F:1B:49:21,eduroam-IPv6only,-70,12
F4:2E:7F:1B:49:23,mwn-events,-70,12
F4:2E:7F:1B:49:25,HM-iotroam,-71,12
18:D6:C7:0A:8A:1F,1209,-32,12
60:E3:27:1C:2C:A4,1B45,-48,12
18:D6:C7:0C:AB:C7,1AD3,-36,12
34:FC:B9:73:30:E0,eduroam,-35,12
34:FC:B9:73:30:E1,eduroam-IPv6only,-35,12
34:FC:B9:73:30:E2,lrz,-36,12
34:FC:B9:73:30:E3,mwn-events,-35,12
34:FC:B9:73:30:E4,@BayernWLAN,-37,12
34:FC:B9:73:30:E5,HM-iotroam,-34,12
F4:2E:7F:1B:49:20,eduroam,-70,12
F4:2E:7F:1B:49:22,lrz,-72,12
F4:2E:7F:1B:49:24,@BayernWLAN,-70,12
38:17:C3:44:90:60,eduroam,-87,12
FC:7F:F1:C4:C8:C0,eduroam,-90,12
A0:25:D7:CA:A1:C1,eduroam-IPv6only,-84,12
A0:25:D7:CA:A1:C0,eduroam,-85,12
A0:25:D7:CA:A1:C2,@BayernWLAN,-86,12
A0:25:D7:CA:A1:C3,lrz,-84,12
A0:25:D7:CA:A1:C4,mwn-events,-85,12
A0:25:D7:CA:A1:C5,HM-iotroam,-84,12
38:17:C3:44:90:61,eduroam-IPv6only,-84,12
38:17:C3:44:90:64,@BayernWLAN,-85,12
38:17:C3:44:90:62,lrz,-85,12
38:17:C3:44:90:63,mwn-events,-86,12
38:17:C3:44:90:65,HM-iotroam,-87,12
34:FC:B9:73:33:81,eduroam-IPv6only,-80,12
34:FC:B9:73:33:82,lrz,-80,12
34:FC:B9:73:33:83,mwn-events,-82,12
34:FC:B9:73:33:84,@BayernWLAN,-82,12
34:FC:B9:73:33:85,HM-iotroam,-82,12
18:D6:C7:0F:63:8A,19BC,-41,12
E6:5F:01:D1:0F:68,main,-37,12
F4:2E:7F:1B:49:21,eduroam-IPv6only,-68,12
